GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC02_EST_VC01,HC04_EST_VC01,HC01_EST_VC36,HC02_EST_VC36,HC04_EST_VC36,HC01_EST_VC37,HC02_EST_VC37,HC04_EST_VC37
Id,Id2,Geography,Total; Estimate; Population 16 years and over,Labor Force Participation Rate; Estimate; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Labor Force Participation Rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Unemployment rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - At or above the poverty level,Labor Force Participation Rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - At or above the poverty level,Unemployment rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - At or above the poverty level
1400000US06073008511,06073008511,"Census Tract 85.11, San Diego County, California",2933,72.7,6.9,323,54.2,26.9,2242,84.4,5.3
1400000US06073008512,06073008512,"Census Tract 85.12, San Diego County, California",4002,65.4,5.3,150,70.7,29.2,2857,82.7,4.2
1400000US06073008513,06073008513,"Census Tract 85.13, San Diego County, California",2353,72.4,4.5,157,79.6,12.8,1653,87.8,2.9
1400000US06073008600,06073008600,"Census Tract 86, San Diego County, California",5760,65.1,8.7,1147,50.3,18.0,3643,83.0,6.6
1400000US06073008701,06073008701,"Census Tract 87.01, San Diego County, California",2413,74.1,7.9,149,66.4,20.2,1913,84.1,5.6
1400000US06073008702,06073008702,"Census Tract 87.02, San Diego County, California",4459,62.7,7.8,407,63.4,12.6,2584,90.6,5.3
1400000US06073008800,06073008800,"Census Tract 88, San Diego County, California",5278,57.3,11.6,988,50.2,21.5,2992,77.0,7.4
1400000US06073008901,06073008901,"Census Tract 89.01, San Diego County, California",4524,79.6,9.6,445,61.1,22.1,3430,92.4,7.9
1400000US06073008902,06073008902,"Census Tract 89.02, San Diego County, California",2136,66.7,5.1,169,45.0,0.0,1509,81.3,4.7
1400000US06073009000,06073009000,"Census Tract 90, San Diego County, California",3428,62.4,5.0,570,66.0,13.6,1825,79.8,3.7
1400000US06073009101,06073009101,"Census Tract 91.01, San Diego County, California",4967,59.4,8.1,137,70.8,59.8,3215,81.1,4.6
1400000US06073009102,06073009102,"Census Tract 91.02, San Diego County, California",3082,71.9,8.1,585,54.5,9.7,1995,93.1,7.6
1400000US06073009103,06073009103,"Census Tract 91.03, San Diego County, California",2926,68.1,10.4,246,65.4,42.9,1984,86.3,6.9
1400000US06073009104,06073009104,"Census Tract 91.04, San Diego County, California",2559,67.6,5.2,130,44.6,31.0,1634,88.9,4.3
1400000US06073009106,06073009106,"Census Tract 91.06, San Diego County, California",4201,42.3,7.4,246,50.4,30.6,1005,83.6,2.9
1400000US06073009107,06073009107,"Census Tract 91.07, San Diego County, California",4182,71.4,5.1,771,50.7,2.6,2698,89.7,3.2
1400000US06073009201,06073009201,"Census Tract 92.01, San Diego County, California",3924,70.0,14.3,273,57.1,49.6,2989,80.4,10.7
1400000US06073009202,06073009202,"Census Tract 92.02, San Diego County, California",4240,71.4,4.3,229,35.4,39.5,3185,88.4,2.6
1400000US06073009301,06073009301,"Census Tract 93.01, San Diego County, California",4116,69.7,11.3,423,39.2,37.3,2997,84.7,8.4
1400000US06073009304,06073009304,"Census Tract 93.04, San Diego County, California",7497,73.8,6.5,920,28.6,16.7,5671,90.7,4.8
